FILE NAME                ROLE        CATEGORY   REASON
──────────────────────────────────────────────────────────────────
AnalyticsDashboard.js    Admin       CACHE      Loads list data (table/grid)
RatingAnalytics.js       Admin       CACHE      Loads list data (table/grid)
Returns.js               Admin       CACHE      Loads list data (table/grid)
Reviews.js               Admin       CACHE      Loads list data (table/grid)
EmailVerification.js     Auth        SKIP       Auth/Settings/Form page
Login.js                 Auth        SKIP       No axios.get calls
Register.js              Auth        SKIP       Auth/Settings/Form page
RiderRegister.js         Auth        SKIP       No axios.get calls
CartPage.js              Customer    SKIP       No axios.get calls
CustomerHome.js          Customer    CACHE+CTX  List + calls /settings or /categories ctx
CustomerOrder.js         Customer    LIVE       Checkout/Cart/Live order validation
CustomerOrderTracking.js Customer    CACHE      Loads list data (table/grid)
OrderHistory.js          Customer    SKIP       No axios.get calls
ProductDetailModal.js    Customer    SKIP       No axios.get calls
ProductReviewsPage.js    Customer    SKIP       No axios.get calls
ShoppingCart.js          Customer    LIVE       Checkout/Cart/Live order validation
Dashboard.js             Admin       CACHE      Loads list data (table/grid)
Delivery.js              Admin       CACHE      Loads list data (table/grid)
DeliveryTracking.js      Admin       CACHE      Loads list data (table/grid)
DeliveryViewModal.js     Admin       CACHE      Loads list data (table/grid)
Example.js               Admin       SKIP       No axios.get calls
Inventory.js             Admin       SKIP       No axios.get calls
PurchaseTab.js           Admin       CACHE      Loads list data (table/grid)
SalesTab.js              Admin       CACHE      Loads list data (table/grid)
StockTab.js              Admin       CACHE+CTX  List + calls /settings or /categories ctx
Landing.js               Admin       CACHE      Loads list data (table/grid)
AdminLayout.js           Admin       SKIP       No axios.get calls
Sidebar.js               Admin       SKIP       No axios.get calls
SupplierLayout.js        Admin       CACHE+CTX  List + calls /settings or /categories ctx
Topbar.js                Admin       CACHE+CTX  List + calls /settings or /categories ctx
ProductForm.js           Admin       SKIP       Auth/Settings/Form page
ProductModal.js          Admin       SKIP       No axios.get calls
ProductReviews.js        Admin       CACHE      Loads list data (table/grid)
Products.js              Admin       CACHE+CTX  List + calls /settings or /categories ctx
Reports.js               Admin       CACHE      Loads list data (table/grid)
RatingNotification.js    Rider       SKIP       No axios.get calls
RatingNotificationsPanel.js Rider       CACHE      Loads list data (table/grid)
RatingStatsCard.js       Rider       CACHE      Loads list data (table/grid)
RiderApp.js              Rider       CACHE      Loads list data (table/grid)
RiderDashboard.js        Rider       CACHE      Loads list data (table/grid)
RiderDashboardV3.js      Rider       CACHE      Loads list data (table/grid)
RiderSettings.js         Rider       SKIP       No axios.get calls
Settings.js              Admin       SKIP       Auth/Settings/Form page
Badge.js                 Shared      SKIP       No axios.get calls
ConfirmModal.js          Shared      SKIP       No axios.get calls
FilterBar.js             Shared      SKIP       No axios.get calls
LineChart.js             Shared      SKIP       No axios.get calls
Modal.js                 Shared      SKIP       No axios.get calls
Pagination.js            Shared      SKIP       No axios.get calls
RatingModal.js           Shared      SKIP       No axios.get calls
Receipt.js               Shared      SKIP       No axios.get calls
StatCard.js              Shared      SKIP       No axios.get calls
VariantSelector.js       Shared      SKIP       No axios.get calls
ProductCatalog.js        Supplier    CACHE      Loads list data (table/grid)
SupplierDashboard.js     Supplier    CACHE      Loads list data (table/grid)
SupplierLogin.js         Supplier    SKIP       No axios.get calls
SupplierOrders.js        Supplier    CACHE      Loads list data (table/grid)
SupplierProducts.js      Supplier    CACHE+CTX  List + calls /settings or /categories ctx
SupplierRegister.js      Supplier    SKIP       No axios.get calls
SupplierSettings.js      Supplier    SKIP       Auth/Settings/Form page
SupplierUnitSettings.js  Supplier    SKIP       Auth/Settings/Form page
SupplierVariantSettings.js Supplier    SKIP       Auth/Settings/Form page
SupplierCatalog.js       Supplier    CACHE+CTX  List + calls /settings or /categories ctx
SupplierForm.js          Supplier    SKIP       No axios.get calls
SupplierModal.js         Supplier    SKIP       No axios.get calls
Suppliers.js             Supplier    CACHE+CTX  List + calls /settings or /categories ctx
SupplierViewModal.js     Supplier    CACHE      Loads list data (table/grid)
checkbox.js              Admin       SKIP       No axios.get calls
Customers.js             Admin       CACHE      Loads list data (table/grid)
RiderDetailsModal.js     Admin       SKIP       No axios.get calls
Riders.js                Admin       CACHE      Loads list data (table/grid)
Users.js                 Admin       CACHE      Loads list data (table/grid)
